time_OmegaUnits,F_phi
17.404,0.3757231633052812
17.408,0.37185530043909665
17.412,0.3679966320790906
17.416,0.3641474113050283
17.42,0.3603078903171245
17.424,0.35647832041841127
17.428,0.35265895199718694
17.432,0.3488500345095437
17.436,0.34505181646198174
17.44,0.34126454539410245
17.444,0.33748846786138964
17.448,0.33372382941807505
17.452,0.3299708746000918
17.456,0.32622984690811613
17.46,0.322500988790698
17.464,0.31878454162748326
17.468,0.3150807457125271
17.472,0.3113898402377003
17.476,0.3077120632761902
17.48,0.3040476517660968
17.484,0.3003968414941248
17.488,0.2967598670793726
17.492,0.2931369619572215
17.496,0.2895283583633236
17.5,0.28593428731768966
17.504,0.2823549786088804
17.508,0.27879066077830006
17.512,0.2752415611045926
17.516000000000002,0.2717079055881455
17.52,0.26818991893569716
17.524,0.264687824545053
17.528,0.2612018444899091
17.532,0.2577321995047839
17.536,0.2542791089700627
17.54,0.25084279089715084
17.544,0.24742346191373935
17.548000000000002,0.2440213372491854
17.552,0.24063663072000427
17.556,0.23726955471547873
17.56,0.23392032018338266
17.564,0.23058913661582256
17.568,0.22727621203519646
17.572,0.22398175298027215
17.576,0.22070596449238378
17.580000000000002,0.21744905010175117
17.584,0.2142112118139181
17.588,0.2109926500963153
17.592,0.20779356386494477
17.596,0.20461415047118972
17.6,0.20145460568874815
17.604,0.19831512370069332
17.608,0.19519589708665966
17.612000000000002,0.19209711681015768
17.616,0.1890189722060153
17.62,0.18596165096794992
17.624,0.18292533913626938
17.628,0.1799102210857031
17.632,0.1769164795133666
17.636,0.17394429542685513
17.64,0.17099384813247345
17.644000000000002,0.16806531522359677
17.648,0.1651588725691673
17.652,0.1622746943023255
17.656,0.15941295280917722
17.66,0.1565738187176971
17.664,0.15375746088676978
17.668,0.1509640463953683
17.672,0.14819374053187076
17.676000000000002,0.14544670678351748
17.68,0.14272310682600636
17.684,0.14002310051322972
17.688,0.1373468458671521
17.692,0.13469449906782902
17.696,0.13206621444356884
17.7,0.1294621444612369
17.704,0.12688243971670354
17.708000000000002,0.12432724892543583
17.712,0.12179671891323378
17.716,0.11929099460711172
17.72,0.11681021902632552
17.724,0.11435453327354556
17.728,0.11192407652617663
17.732,0.10951898602782495
17.736,0.10713939707991249
17.740000000000002,0.10478544303344012
17.744,0.10245725528089847
17.748,0.10015496324832829
17.752,0.09787869438753029
17.756,0.09562857416842467
17.76,0.09340472607156124
17.764,0.09120727158077994
17.768,0.08903633017602261
17.772000000000002,0.08689201932629625
17.776,0.08477445448278847
17.78,0.08268374907213435
17.784,0.08062001448983669
17.788,0.0785833600938389
17.792,0.07657389319825121
17.796,0.07459171906723004
17.8,0.07263694090901172
17.804000000000002,0.07070965987010035
17.808,0.06880997502960959
17.812,0.06693798339375978
17.816,0.06509377989052971
17.82,0.0632774573644636
17.824,0.06148910657163342
17.828,0.05972881617475734
17.832,0.05799667273847345
17.836000000000002,0.056292760724769984
17.84,0.05461716248857172
17.844,0.05296995827348257
17.848,0.05135122620768529
17.852,0.04976104229999737
17.856,0.04819948043608437
17.86,0.046666612374829865
17.864,0.04516250774486267
17.868000000000002,0.043687234041241585
17.872,0.042240856622297145
17.876,0.04082343870663092
17.88,0.03943504137027244
17.884,0.038075723543993654
17.888,0.03674554201078094
17.892,0.035444551403464836
17.896,0.0341728042025074
17.900000000000002,0.03293035073394752
17.904,0.03171723916750357
17.908,0.030533515514834055
17.912,0.029379223627955905
17.916,0.028254405197820222
17.92,0.027159099753045955
17.924,0.026093344658810916
17.928,0.025057175115900325
17.932,0.024050624159912985
17.936,0.023073722660624407
17.94,0.02212649932150761
17.944,0.021208980679410728
17.948,0.02032119110439181
17.952,0.01946315279971042
17.956,0.018634885801975996
17.96,0.01783640798145281
17.964,0.01706773504252134
17.968,0.016328880524295843
17.972,0.015619855801398073
17.976,0.014940670084886785
17.98,0.0142913304233429
17.984,0.013671841704110132
