time_OmegaUnits,F_phi
16.002,0.23895624915792388
16.008,0.23956359641466335
16.014,0.24018652871257806
16.02,0.24082499947644148
16.026,0.24147895779909906
16.032,0.2421483484438759
16.038,0.24283311184804168
16.044,0.24353318412733455
16.05,0.24424849708154478
16.056,0.24497897820116005
16.062,0.24572455067507204
16.068,0.24648513339934774
16.074,0.24726064098706269
16.080000000000002,0.24805098377919974
16.086000000000002,0.24885606785660924
16.092,0.24967579505303547
16.098,0.25051006296920425
16.104,0.2513587649879728
16.11,0.2522217902905421
16.116,0.2530990238737284
16.122,0.2539903465682924
16.128,0.2548956350583261
16.134,0.25581476190169294
16.14,0.25674759555152216
16.146,0.2576940003787502
16.152,0.25865383669571035
16.158,0.25962696078076536
16.164,0.26061322490398076
16.17,0.26161247735383436
16.176000000000002,0.26262456246495863
16.182,0.2636493206469117
16.188,0.26468658841397164
16.194,0.26573619841595164
16.2,0.2667979794700283
16.206,0.2678717565935805
16.212,0.2689573510380295
16.218,0.27005458032368146
16.224,0.27116325827555804
16.23,0.2722831950602139
16.236,0.27341419722353605
16.242,0.2745560677295112
16.248,0.27570860599996344
16.254,0.27687160795524707
16.26,0.278044866055891
16.266000000000002,0.2792281693451874
16.272000000000002,0.2804213034927125
16.278,0.28162405083877795
16.284,0.2828361904397965
16.29,0.28405749811455916
16.296,0.285287746491413
16.302,0.2865267050563276
16.308,0.2877741402018458
16.314,0.28902981527690447
16.32,0.2902934906375174
16.326,0.2915649236983092
16.332,0.29284386898489095
16.338,0.2941300781870654
16.344,0.29542330021285074
16.35,0.2967232812433149
16.356,0.29802976478820264
16.362000000000002,0.2993424917423505
16.368000000000002,0.3006612004428734
16.374,0.30198562672711265
16.38,0.3033155039913316
16.386,0.3046505632501482
16.392,0.30599053319668973
16.398,0.30733514026345904
16.404,0.30868410868389556
16.41,0.3100371605546215
16.416,0.31139401589835775
16.422,0.31275439272749483
16.428,0.3141180071083063
16.434,0.3154845732257894
16.44,0.31685380344912095
